# Time indexes blocks. 
# Columns Headings: 
# x	var0 u	var0 q	var0 sigma	var1 u	var1 q	var1 sigma	var2 u	var2 q	var2 sigma
# t = 0
0.28	1.6276	2.90967	0.979164	1.62981	2.91179	3.59205	1.62981	2.9135	1.63415
0.283	1.63629	2.88239	0.979999	1.63851	2.88732	3.60034	1.63851	2.88611	1.63555
0.286	1.64489	2.85554	0.98133	1.64713	2.85955	3.60331	1.64713	2.85941	1.63777
0.289	1.65342	2.82838	0.982389	1.65566	2.83122	3.60504	1.65566	2.83231	1.63954
0.292	1.66186	2.80038	0.982441	1.66412	2.80498	3.60885	1.66412	2.80407	1.63962
0.295	1.67022	2.77254	0.982742	1.67249	2.77667	3.60899	1.67249	2.77626	1.64013
0.298	1.6785	2.74469	0.983154	1.68078	2.7467	3.60631	1.68078	2.74859	1.64082
0.301	1.68669	2.71553	0.981619	1.68898	2.72178	3.6093	1.68898	2.71901	1.63825
0.304	1.69479	2.68732	0.982157	1.69709	2.68883	3.60188	1.69709	2.69108	1.63915
0.307	1.70281	2.65799	0.980462	1.70512	2.66194	3.60059	1.70512	2.66158	1.63632
0.31	1.71074	2.62849	0.978969	1.71306	2.63293	3.59641	1.71306	2.6319	1.63383
0.313	1.71858	2.59929	0.977761	1.72091	2.60203	3.58826	1.72091	2.60292	1.63182
0.316	1.72633	2.5694	0.975739	1.72868	2.5724	3.58144	1.72868	2.57298	1.62844
0.319	1.734	2.53888	0.972946	1.73635	2.54366	3.57543	1.73635	2.54208	1.62377
0.322	1.74157	2.50903	0.97091	1.74393	2.51185	3.56337	1.74393	2.51257	1.62038
0.325	1.74905	2.47911	0.967027	1.75142	2.48515	3.55425	1.75143	2.48335	1.61392
0.328	1.75644	2.44737	0.964574	1.75882	2.45086	3.54211	1.75882	2.45058	1.6098
0.331	1.76373	2.41676	0.961514	1.76613	2.41864	3.52702	1.76613	2.42027	1.6047
0.334	1.77094	2.38499	0.957032	1.77334	2.38901	3.51582	1.77334	2.38808	1.59722
0.337	1.77805	2.35354	0.952957	1.78046	2.3573	3.50028	1.78046	2.35664	1.59042
0.34	1.78506	2.32221	0.948957	1.78748	2.32432	3.4817	1.78748	2.32552	1.58375
0.343	1.79198	2.29002	0.943851	1.79441	2.29317	3.46567	1.79441	2.29308	1.57522
0.346	1.7988	2.25779	0.938268	1.80124	2.26245	3.44862	1.80124	2.26076	1.5659
0.349	1.80553	2.22589	0.934044	1.80797	2.22669	3.42438	1.80798	2.22904	1.55885
0.352	1.81215	2.19289	0.927221	1.81461	2.19725	3.40773	1.81461	2.19574	1.54746
0.355	1.81868	2.16038	0.921584	1.82115	2.1633	3.38381	1.82115	2.16325	1.53806
0.358	1.82512	2.12773	0.915506	1.82759	2.12972	3.35919	1.82759	2.13073	1.52792
0.361	1.83145	2.09442	0.908424	1.83393	2.09776	3.33656	1.83393	2.09725	1.51609
0.364	1.83768	2.06109	0.901393	1.84018	2.0644	3.31111	1.84018	2.06372	1.50436
0.367	1.84382	2.02812	0.894618	1.84632	2.02992	3.28202	1.84632	2.03111	1.49306
0.37	1.84985	1.99348	0.886601	1.85236	1.99554	3.25665	1.85236	1.99493	1.47964
0.373	1.85578	1.96075	0.879158	1.8583	1.96202	3.22469	1.8583	1.96341	1.46725
0.376	1.86161	1.92696	0.87085	1.86414	1.92865	3.19485	1.86414	1.92977	1.45339
0.379	1.86734	1.89246	0.861464	1.86988	1.89664	3.16715	1.86988	1.89487	1.43772
0.382	1.87297	1.85856	0.853218	1.87551	1.86067	3.13197	1.87551	1.86096	1.42396
0.385	1.87849	1.8246	0.84442	1.88104	1.82584	3.09687	1.88104	1.82734	1.40928
0.388	1.88391	1.78964	0.834013	1.88647	1.79361	3.0662	1.88647	1.79194	1.3919
0.391	1.88923	1.75525	0.824797	1.8918	1.75731	3.02807	1.89179	1.75743	1.37652
0.394	1.89445	1.72154	0.815633	1.89701	1.72154	2.98695	1.89702	1.72471	1.36125
0.397	1.89956	1.68494	0.802601	1.90214	1.69174	2.96018	1.90213	1.68634	1.33946
0.4	1.90456	1.65159	0.794447	1.90715	1.65158	2.91032	1.90714	1.65422	1.32589
0.403	1.90946	1.61659	0.783336	1.91205	1.61688	2.87054	1.91205	1.61915	1.30734
0.406	1.91426	1.58032	0.770106	1.91685	1.58569	2.83743	1.91686	1.58175	1.28523
0.409	1.91895	1.54615	0.759955	1.92156	1.5481	2.78907	1.92155	1.54857	1.26832
0.412	1.92354	1.51135	0.749428	1.92614	1.50885	2.7396	1.92615	1.51358	1.25075
0.415	1.92801	1.47544	0.734765	1.93063	1.4854	2.71157	1.93063	1.48027	1.22634
0.418	1.93239	1.4401	0.723023	1.93501	1.44325	2.65706	1.93501	1.44235	1.20668
0.421	1.93665	1.40464	0.710826	1.93928	1.40554	2.60771	1.93928	1.40637	1.18631
0.424	1.94081	1.36923	0.697659	1.94345	1.37096	2.56077	1.94345	1.37126	1.16435
0.427	1.94487	1.33341	0.683937	1.94751	1.3361	2.51371	1.94751	1.33515	1.14144
0.43	1.94882	1.29791	0.670668	1.95146	1.29944	2.46221	1.95146	1.29952	1.11929
0.433	1.95266	1.26261	0.657252	1.95531	1.26326	2.40956	1.95531	1.26462	1.09692
0.436	1.95639	1.22632	0.642038	1.95904	1.22931	2.3618	1.95904	1.22765	1.07151
0.439	1.96002	1.19093	0.628522	1.96268	1.19171	2.30559	1.96267	1.19248	1.04896
0.442	1.96354	1.15525	0.613655	1.9662	1.15658	2.25218	1.9662	1.15692	1.02415
0.445	1.96695	1.11924	0.598281	1.96962	1.12145	2.199	1.96962	1.12061	0.998483
0.448	1.97025	1.08365	0.583393	1.97293	1.08498	2.14161	1.97292	1.08512	0.973641
0.451	1.97345	1.04801	0.568161	1.97613	1.04873	2.0837	1.97613	1.04958	0.948224
0.454	1.97654	1.01188	0.551862	1.97922	1.01377	2.02819	1.97922	1.01308	0.921012
0.457	1.97952	0.976192	0.535848	1.98221	0.978263	1.96945	1.98221	0.977554	0.894293
0.46	1.9824	0.9402	0.520305	1.98508	0.938994	1.90602	1.98509	0.940467	0.868323
0.463	1.98516	0.904508	0.503049	1.98786	0.906312	1.84924	1.98786	0.905537	0.839546
0.466	1.98782	0.868952	0.48651	1.99052	0.87037	1.78678	1.99052	0.870201	0.811952
0.469	1.99038	0.833271	0.469809	1.99308	0.833705	1.72301	1.99308	0.834377	0.784077
0.472	1.99282	0.797494	0.452245	1.99553	0.7988	1.66108	1.99553	0.7986	0.754765
0.475	1.99516	0.761752	0.434626	1.99787	0.763319	1.59747	1.99787	0.762745	0.725358
0.478	1.99739	0.726261	0.417345	2.0001	0.726597	1.53052	2.0001	0.727211	0.696517
0.481	1.99952	0.690738	0.399236	2.00223	0.691697	1.46536	2.00223	0.691863	0.666302
0.484	2.00154	0.654819	0.380548	2.00426	0.656585	1.40075	2.00425	0.65541	0.635099
0.487	2.00345	0.619853	0.363038	2.00617	0.619757	1.32947	2.00617	0.620911	0.60589
0.49	2.00526	0.584218	0.344016	2.00798	0.584894	1.26277	2.00798	0.585003	0.574137
0.493	2.00696	0.548683	0.324817	2.00968	0.550135	1.19524	2.00968	0.549273	0.542091
0.496	2.00855	0.513643	0.306152	2.01127	0.514306	1.12369	2.01127	0.514437	0.510949
0.499	2.01004	0.478498	0.287171	2.01276	0.478308	1.05173	2.01276	0.479168	0.479269
0.502	2.01142	0.443228	0.267176	2.01415	0.44439	0.982642	2.01415	0.443856	0.445898
0.505	2.0127	0.407956	0.247083	2.01543	0.408416	0.909845	2.01543	0.407533	0.412333
0.508	2.01387	0.373439	0.228326	2.0166	0.372858	0.834799	2.0166	0.373974	0.381061
0.511	2.01494	0.338446	0.207704	2.01767	0.339276	0.763698	2.01767	0.338939	0.346644
0.514	2.0159	0.303574	0.187285	2.01864	0.304595	0.690112	2.01863	0.303818	0.31256
0.517	2.01676	0.269243	0.167451	2.0195	0.269066	0.612718	2.01949	0.269721	0.279468
0.52	2.01752	0.234712	0.146832	2.02025	0.234528	0.537228	2.02025	0.235118	0.245055
0.523	2.01817	0.199982	0.125342	2.0209	0.201213	0.464003	2.02091	0.200037	0.209179
0.526	2.01872	0.1661	0.10491	2.02146	0.166367	0.384713	2.02145	0.166524	0.175093
0.529	2.01916	0.131862	0.0842857	2.0219	0.130866	0.305785	2.0219	0.131982	0.140665
0.532	2.01951	0.0976917	0.0621633	2.02225	0.098676	0.231124	2.02225	0.0978047	0.103745
0.535	2.01975	0.0638555	0.0409484	2.02249	0.0642459	0.151581	2.02249	0.0638729	0.0683377
0.538	2.01989	0.03032	0.0198419	2.02263	0.0296524	0.0703338	2.02263	0.0304065	0.0331163
0.541	2.01993	-0.00328767	-0.0020826	2.02267	-0.00343332	-0.00846071	2.02267	-0.00318781	-0.00347212
0.544	2.01987	-0.036981	-0.0244312	2.02261	-0.0363037	-0.086644	2.02261	-0.0372137	-0.0407801
0.547	2.01971	-0.0700099	-0.0460459	2.02245	-0.07002	-0.169049	2.02245	-0.0700212	-0.0768444
0.55	2.01945	-0.102503	-0.067996	2.02219	-0.101973	-0.251151	2.02219	-0.10149	-0.113441
0.553	2.01909	-0.136247	-0.0907352	2.02183	-0.135896	-0.330752	2.02183	-0.136596	-0.151436
0.556	2.01863	-0.168813	-0.112806	2.02137	-0.168975	-0.414212	2.02137	-0.168965	-0.188262
0.559	2.01808	-0.201386	-0.135068	2.02082	-0.202228	-0.497845	2.02082	-0.201675	-0.225419
0.562	2.01743	-0.233857	-0.158004	2.02016	-0.233964	-0.579451	2.02016	-0.234157	-0.263696
0.565	2.01668	-0.266137	-0.180855	2.01941	-0.26603	-0.662284	2.01941	-0.266532	-0.301836
0.568	2.01583	-0.298063	-0.203265	2.01856	-0.298936	-0.747848	2.01856	-0.298502	-0.339236
0.571	2.01489	-0.329819	-0.226211	2.01762	-0.330434	-0.83175	2.01762	-0.330097	-0.377524
0.574	2.01385	-0.361795	-0.249869	2.01658	-0.361476	-0.913694	2.01658	-0.362531	-0.417022
0.577	2.01272	-0.392858	-0.272201	2.01545	-0.393868	-1.00165	2.01545	-0.393243	-0.454279
0.58	2.01149	-0.424139	-0.295407	2.01422	-0.425238	-1.08668	2.01422	-0.424668	-0.493011
0.583	2.01017	-0.455365	-0.319193	2.0129	-0.455488	-1.16978	2.0129	-0.456093	-0.532714
0.586	2.00876	-0.486092	-0.342484	2.01149	-0.486216	-1.25557	2.01149	-0.486737	-0.571581
0.589	2.00726	-0.516518	-0.36528	2.00998	-0.517989	-1.34409	2.00998	-0.517195	-0.609626
0.592	2.00566	-0.546859	-0.388886	2.00838	-0.547937	-1.42954	2.00838	-0.547473	-0.649017
0.595	2.00398	-0.5777	-0.413286	2.0067	-0.578244	-1.5128	2.00669	-0.579531	-0.689783
0.598	2.0022	-0.606949	-0.435919	2.00492	-0.608325	-1.60253	2.00491	-0.607791	-0.727517
0.601	2.00033	-0.636451	-0.459298	2.00305	-0.638157	-1.6902	2.00305	-0.637129	-0.766528
0.604	1.99838	-0.666209	-0.483715	2.00109	-0.666639	-1.77376	2.00109	-0.667248	-0.80729
0.607	1.99634	-0.695371	-0.507487	1.99905	-0.695562	-1.86026	1.99905	-0.696373	-0.846962
0.61	1.99421	-0.724059	-0.530515	1.99691	-0.725584	-1.95027	1.99691	-0.724946	-0.885388
0.613	1.99199	-0.752738	-0.554133	1.99469	-0.754614	-2.03796	1.9947	-0.753727	-0.924806
0.616	1.98969	-0.78136	-0.578907	1.99239	-0.781221	-2.12105	1.99239	-0.782392	-0.966153
0.619	1.98731	-0.809619	-0.602225	1.99	-0.810506	-2.20959	1.99	-0.810917	-1.00508
0.622	1.98484	-0.8371	-0.625218	1.98753	-0.839298	-2.30048	1.98753	-0.838024	-1.04344
0.625	1.98228	-0.865007	-0.649675	1.98497	-0.866089	-2.3849	1.98497	-0.866211	-1.08426
0.628	1.97965	-0.892523	-0.673856	1.98233	-0.892909	-2.47041	1.98233	-0.893875	-1.12462
0.631	1.97693	-0.919382	-0.697059	1.97961	-0.920712	-2.55999	1.97961	-0.920544	-1.16334
0.634	1.97413	-0.946122	-0.720414	1.97681	-0.948329	-2.64894	1.97681	-0.947353	-1.20232
0.637	1.97125	-0.97281	-0.744795	1.97392	-0.973752	-2.73328	1.97393	-0.97409	-1.24301
0.64	1.96829	-0.999413	-0.769121	1.97096	-1.00044	-2.81948	1.97096	-1.00159	-1.28364
0.643	1.96526	-1.02493	-0.791548	1.96792	-1.02715	-2.90969	1.96792	-1.0263	-1.32104
0.646	1.96214	-1.05062	-0.815421	1.9648	-1.05233	-2.99548	1.96481	-1.05194	-1.36087
0.649	1.95895	-1.07626	-0.839586	1.96161	-1.07713	-3.0797	1.96161	-1.07786	-1.40121
0.652	1.95569	-1.10123	-0.862875	1.95834	-1.10247	-3.16716	1.95834	-1.10272	-1.44008
0.655	1.95235	-1.12588	-0.885881	1.95499	-1.12801	-3.2555	1.95499	-1.1273	-1.47847
0.658	1.94893	-1.1505	-0.909579	1.95157	-1.1523	-3.34047	1.95158	-1.1521	-1.51802
0.661	1.94544	-1.17473	-0.933548	1.94808	-1.17538	-3.42402	1.94808	-1.17626	-1.55802
0.664	1.94188	-1.1987	-0.956253	1.94452	-1.20052	-3.51127	1.94452	-1.20047	-1.59592
0.667	1.93825	-1.22202	-0.979123	1.94088	-1.22436	-3.59843	1.94088	-1.22352	-1.63408
0.67	1.93455	-1.2455	-1.00285	1.93717	-1.24696	-3.68097	1.93717	-1.24723	-1.67368
0.673	1.93078	-1.26853	-1.02609	1.9334	-1.26972	-3.76481	1.9334	-1.27036	-1.71248
0.676	1.92694	-1.29099	-1.04859	1.92955	-1.29291	-3.85111	1.92955	-1.29265	-1.75001
0.679	1.92303	-1.31329	-1.07127	1.92564	-1.31567	-3.93596	1.92564	-1.31504	-1.78786
0.682	1.91906	-1.33541	-1.09455	1.92166	-1.33686	-4.01736	1.92166	-1.3372	-1.82673
0.685	1.91502	-1.35732	-1.11757	1.91762	-1.35904	-4.10037	1.91762	-1.35976	-1.86518
0.688	1.91092	-1.37836	-1.13925	1.91351	-1.38078	-4.18537	1.91351	-1.38021	-1.90133
0.691	1.90675	-1.39938	-1.16185	1.90934	-1.40148	-4.26706	1.90934	-1.4012	-1.93904
0.694	1.90252	-1.42025	-1.18457	1.9051	-1.42179	-4.34723	1.9051	-1.42227	-1.97696
0.697	1.89823	-1.44053	-1.2066	1.90081	-1.44226	-4.42923	1.90081	-1.44248	-2.01372
0.7	1.89388	-1.46046	-1.22828	1.89645	-1.46282	-4.51173	1.89645	-1.46238	-2.0499
0.703	1.88947	-1.48022	-1.2503	1.89203	-1.48249	-4.59171	1.89203	-1.48225	-2.08666
0.706	1.885	-1.49961	-1.27253	1.88755	-1.50102	-4.6698	1.88756	-1.50158	-2.12375
0.709	1.88047	-1.51873	-1.29386	1.88302	-1.52076	-4.74982	1.88302	-1.52093	-2.15936
0.712	1.87589	-1.53717	-1.31491	1.87843	-1.53974	-4.83056	1.87843	-1.53913	-2.19449
0.715	1.87125	-1.55563	-1.33652	1.87379	-1.5578	-4.90746	1.87379	-1.55774	-2.23055
0.718	1.86655	-1.57372	-1.35796	1.86909	-1.57544	-4.98374	1.86909	-1.57594	-2.26633
0.721	1.86181	-1.59127	-1.3787	1.86433	-1.59327	-5.0616	1.86433	-1.59338	-2.30094
0.724	1.85701	-1.60851	-1.39914	1.85953	-1.61119	-5.13943	1.85953	-1.61067	-2.33506
0.727	1.85215	-1.62547	-1.41996	1.85467	-1.62774	-5.2142	1.85467	-1.6276	-2.3698
0.73	1.84725	-1.64252	-1.44086	1.84976	-1.6448	-5.28752	1.84976	-1.64545	-2.40473
0.733	1.8423	-1.65839	-1.46065	1.8448	-1.66074	-5.36326	1.8448	-1.66068	-2.43772
0.736	1.8373	-1.67413	-1.48031	1.8398	-1.67697	-5.43842	1.8398	-1.67626	-2.47053
0.739	1.83226	-1.68984	-1.50058	1.83474	-1.69215	-5.50948	1.83474	-1.69218	-2.50436
0.742	1.82716	-1.7051	-1.52058	1.82964	-1.70678	-5.57994	1.82964	-1.70745	-2.53775
0.745	1.82203	-1.71984	-1.53966	1.8245	-1.72209	-5.65274	1.8245	-1.72216	-2.56958
0.748	1.81685	-1.7342	-1.55836	1.81931	-1.73731	-5.72549	1.81931	-1.73651	-2.60079
0.751	1.81162	-1.74841	-1.5778	1.81408	-1.75069	-5.79305	1.81408	-1.7507	-2.63324
0.754	1.80636	-1.7624	-1.59732	1.80881	-1.7638	-5.85924	1.80881	-1.76499	-2.66582
0.757	1.80105	-1.77548	-1.61485	1.80349	-1.77825	-5.9314	1.80349	-1.77777	-2.69507
0.76	1.7957	-1.78846	-1.63284	1.79814	-1.79181	-6.00004	1.79814	-1.79078	-2.72509
0.763	1.79032	-1.80138	-1.65173	1.79275	-1.80353	-6.06291	1.79275	-1.80388	-2.75663
0.766	1.7849	-1.81379	-1.67001	1.78732	-1.81521	-6.12644	1.78732	-1.81631	-2.78713
0.769	1.77944	-1.82556	-1.68675	1.78185	-1.82834	-6.19459	1.78185	-1.82804	-2.81507
0.772	1.77394	-1.83696	-1.70347	1.77635	-1.84057	-6.26082	1.77635	-1.83925	-2.84295
0.775	1.76841	-1.84805	-1.72254	1.77081	-1.84848	-6.31752	1.77081	-1.8499	-2.87476
0.778	1.76285	-1.85948	-1.73891	1.76525	-1.861	-6.37907	1.76524	-1.86216	-2.90212
0.781	1.75726	-1.86955	-1.75397	1.75964	-1.87317	-6.44619	1.75964	-1.87188	-2.92724
0.784	1.75163	-1.87978	-1.77037	1.75401	-1.88336	-6.50561	1.75401	-1.88224	-2.95462
0.787	1.74598	-1.8899	-1.78778	1.74835	-1.89141	-6.55854	1.74835	-1.89255	-2.98369
0.79	1.7403	-1.89935	-1.80363	1.74266	-1.90074	-6.61587	1.74266	-1.90205	-3.01014
0.793	1.73458	-1.90802	-1.81754	1.73694	-1.91174	-6.67934	1.73694	-1.91052	-3.03334
0.796	1.72885	-1.91674	-1.83249	1.73119	-1.92056	-6.73516	1.73119	-1.91917	-3.05829
0.799	1.72308	-1.92549	-1.84991	1.72542	-1.92615	-6.78141	1.72542	-1.92834	-3.08738
0.802	1.7173	-1.93321	-1.8633	1.71963	-1.93538	-6.83921	1.71963	-1.93581	-3.10972
0.805	1.71148	-1.94046	-1.87611	1.71381	-1.94484	-6.89826	1.71381	-1.94287	-3.13108
0.808	1.70565	-1.94795	-1.89102	1.70796	-1.95111	-6.94603	1.70797	-1.95054	-3.15598
0.811	1.6998	-1.95519	-1.90629	1.7021	-1.95613	-6.98981	1.7021	-1.958	-3.18146
0.814	1.69392	-1.96159	-1.91903	1.69622	-1.96355	-7.04183	1.69622	-1.96437	-3.20274
0.817	1.68803	-1.96726	-1.93031	1.69032	-1.97168	-7.09759	1.69032	-1.96967	-3.22155
0.82	1.68212	-1.97399	-1.94324	1.6844	-1.97846	-7.14027	1.6844	-1.97743	-3.24316
0.823	1.67619	-1.97913	-1.95824	1.67846	-1.98006	-7.17986	1.67846	-1.98204	-3.26819
0.826	1.67024	-1.9838	-1.96888	1.67251	-1.98675	-7.23084	1.67251	-1.98639	-3.28591
0.829	1.66429	-1.98834	-1.97983	1.66654	-1.99262	-7.27825	1.66655	-1.99086	-3.30418
0.832	1.65831	-1.99298	-1.99254	1.66056	-1.99559	-7.31554	1.66057	-1.99566	-3.32541
0.835	1.65233	-1.99726	-2.00482	1.65457	-1.9984	-7.35203	1.65457	-2.00013	-3.34591
0.838	1.64633	-2.00068	-2.01468	1.64857	-2.00325	-7.39613	1.64857	-2.00345	-3.36236
0.841	1.64032	-2.00365	-2.02382	1.64255	-2.00795	-7.44025	1.64255	-2.00613	-3.37761
0.844	1.63431	-2.00685	-2.03556	1.63653	-2.00936	-7.47268	1.63653	-2.00959	-3.3972
0.847	1.62828	-2.00963	-2.04599	1.6305	-2.01122	-7.50574	1.63049	-2.01244	-3.41462
0.85	1.62225	-2.01166	-2.05465	1.62446	-2.01446	-7.54441	1.62445	-2.01436	-3.42906
0.853	1.61621	-2.0134	-2.06319	1.61841	-2.01707	-7.58088	1.61841	-2.01602	-3.44331
0.856	1.61017	-2.01505	-2.07259	1.61236	-2.01793	-7.61097	1.61236	-2.01772	-3.45901
0.859	1.60412	-2.01647	-2.08192	1.6063	-2.01829	-7.63856	1.6063	-2.01932	-3.47459
0.862	1.59807	-2.01719	-2.0897	1.60025	-2.01945	-7.66999	1.60024	-2.01994	-3.48756
0.865	1.59202	-2.01745	-2.09666	1.59418	-2.02125	-7.70355	1.59418	-2.02025	-3.49919
0.868	1.58597	-2.01771	-2.10419	1.58812	-2.02096	-7.72888	1.58812	-2.0204	-3.51175
0.871	1.57992	-2.01777	-2.11241	1.58206	-2.01948	-7.75003	1.58206	-2.02059	-3.52547
0.874	1.57386	-2.01719	-2.11887	1.576	-2.01927	-7.77575	1.576	-2.02	-3.53626
0.877	1.56781	-2.01604	-2.1241	1.56994	-2.01955	-7.80387	1.56994	-2.01864	-3.54498
0.88	1.56177	-2.01481	-2.13004	1.56389	-2.01841	-7.82624	1.56389	-2.0174	-3.55488
0.883	1.55572	-2.01357	-2.13691	1.55783	-2.01559	-7.84166	1.55784	-2.01639	-3.56637
0.886	1.54969	-2.01163	-2.14256	1.55179	-2.01318	-7.86019	1.55179	-2.01437	-3.57578
0.889	1.54365	-2.00928	-2.14555	1.54575	-2.01313	-7.88417	1.54575	-2.01196	-3.58078
0.892	1.53763	-2.00669	-2.15047	1.53972	-2.01009	-7.90013	1.53972	-2.0093	-3.58898
0.895	1.53161	-2.00411	-2.15584	1.53369	-2.00598	-7.91023	1.5337	-2.00693	-3.59795
0.898	1.52561	-2.00091	-2.15958	1.52768	-2.00281	-7.92422	1.52768	-2.00371	-3.6042
0.901	1.51961	-1.99712	-2.1619	1.52168	-2.00037	-7.94132	1.52167	-1.99973	-3.60806
0.904	1.51362	-1.99323	-2.16463	1.51568	-1.99688	-7.95383	1.51568	-1.9958	-3.61261
0.907	1.50765	-1.98929	-2.16834	1.5097	-1.9916	-7.95916	1.5097	-1.99199	-3.61881
0.91	1.50169	-1.98493	-2.17092	1.50373	-1.98657	-7.96505	1.50373	-1.98759	-3.62312
0.913	1.49574	-1.97994	-2.17206	1.49778	-1.98281	-7.97617	1.49777	-1.9826	-3.62501
0.916	1.48981	-1.97468	-2.17299	1.49183	-1.97824	-7.98432	1.49183	-1.97721	-3.62656
0.919	1.48389	-1.96943	-2.17479	1.48591	-1.9722	-7.98573	1.48591	-1.97209	-3.62957
0.922	1.47799	-1.96387	-2.17631	1.48	-1.96565	-7.98517	1.48	-1.96661	-3.63212
0.925	1.47211	-1.95776	-2.17632	1.47411	-1.95997	-7.98799	1.47411	-1.96044	-3.63213
0.928	1.46625	-1.9512	-2.17529	1.46824	-1.95468	-7.9923	1.46824	-1.95374	-3.63041
0.931	1.4604	-1.94466	-2.17496	1.46239	-1.94794	-7.98982	1.46239	-1.94723	-3.62985
0.934	1.45458	-1.93791	-2.1759	1.45656	-1.9393	-7.98142	1.45656	-1.94064	-3.63144
0.937	1.44878	-1.93058	-2.17399	1.45075	-1.93276	-7.97947	1.45074	-1.93321	-3.62824
0.94	1.443	-1.92281	-2.17127	1.44496	-1.9264	-7.97877	1.44496	-1.92526	-3.6237
0.943	1.43724	-1.91506	-2.16965	1.43919	-1.91829	-7.97042	1.43919	-1.91757	-3.62099
0.946	1.43151	-1.9072	-2.16849	1.43345	-1.909	-7.95696	1.43345	-1.90985	-3.61907
0.949	1.4258	-1.89884	-2.1659	1.42774	-1.90051	-7.94648	1.42773	-1.90152	-3.61475
0.952	1.42011	-1.8899	-2.16162	1.42205	-1.89295	-7.94014	1.42204	-1.89237	-3.6076
0.955	1.41446	-1.88101	-2.15756	1.41638	-1.88482	-7.92901	1.41638	-1.88361	-3.60083
0.958	1.40883	-1.87184	-2.155	1.41074	-1.87408	-7.91056	1.41074	-1.8744	-3.59655
0.961	1.40323	-1.86242	-2.15119	1.40513	-1.8641	-7.89303	1.40513	-1.86501	-3.5902
0.964	1.39765	-1.85249	-2.14591	1.39956	-1.85496	-7.87884	1.39955	-1.85499	-3.58138
0.967	1.39211	-1.84229	-2.14023	1.39401	-1.84553	-7.86336	1.394	-1.84467	-3.57189
0.97	1.3866	-1.83204	-2.1352	1.38848	-1.83484	-7.84212	1.38849	-1.83445	-3.56351
0.973	1.38112	-1.82166	-2.13036	1.383	-1.82337	-7.817	1.383	-1.82419	-3.55543
0.976	1.37567	-1.8107	-2.12418	1.37754	-1.81248	-7.79524	1.37754	-1.81314	-3.54512
0.979	1.37026	-1.79948	-2.1161	1.37212	-1.8029	-7.77612	1.37212	-1.80182	-3.53162
0.982	1.36487	-1.78814	-2.10972	1.36673	-1.79101	-7.74932	1.36673	-1.79049	-3.52097
0.985	1.35953	-1.77675	-2.10348	1.36138	-1.77838	-7.71805	1.36138	-1.77923	-3.51057
0.988	1.35421	-1.76487	-2.09573	1.35606	-1.76657	-7.69019	1.35606	-1.76732	-3.49764
0.991	1.34894	-1.75256	-2.0867	1.35077	-1.75537	-7.66481	1.35077	-1.75485	-3.48256
0.994	1.3437	-1.74014	-2.07793	1.34553	-1.74332	-7.63537	1.34553	-1.74237	-3.46793
0.997	1.3385	-1.72775	-2.07002	1.34032	-1.72991	-7.59934	1.34032	-1.73008	-3.45472
1	1.33333	-1.71506	-2.0615	1.33515	-1.71644	-7.56276	1.33515	-1.71747	-3.44052


# t = 3e-07
0.1	1	3.81463	0.305591	1.00136	3.81973	1.12198	1.00136	3.81981	0.510011
0.103	1.01144	3.81246	0.314574	1.01282	3.81763	1.15502	1.01282	3.81761	0.525003
0.106	1.02287	3.80984	0.323516	1.02427	3.81498	1.18783	1.02427	3.815	0.539927
0.109	1.0343	3.80675	0.332401	1.03571	3.81189	1.22046	1.03571	3.81189	0.554756
0.112	1.04571	3.80319	0.34123	1.04714	3.80835	1.25289	1.04714	3.80833	0.56949
0.115	1.05712	3.79916	0.35	1.05856	3.80428	1.28507	1.05856	3.80429	0.584126
0.118	1.06851	3.79465	0.358704	1.06996	3.79977	1.31703	1.06996	3.79978	0.598653
0.121	1.07989	3.78968	0.367337	1.08135	3.79485	1.34876	1.08135	3.79481	0.613062
0.124	1.09125	3.78424	0.375911	1.09273	3.78931	1.38019	1.09273	3.78933	0.62737
0.127	1.10259	3.77834	0.384401	1.10409	3.78347	1.4114	1.10409	3.78346	0.64154
0.13	1.11392	3.77197	0.39282	1.11543	3.77705	1.44229	1.11543	3.77706	0.65559
0.133	1.12522	3.76513	0.401156	1.12675	3.77022	1.4729	1.12675	3.77022	0.669502
0.136	1.13651	3.75784	0.409409	1.13805	3.76294	1.50322	1.13805	3.76293	0.683276
0.139	1.14777	3.75007	0.417578	1.14933	3.75512	1.53319	1.14933	3.75513	0.696909
0.142	1.15901	3.74186	0.425654	1.16058	3.74695	1.56286	1.16058	3.74694	0.710387
0.145	1.17022	3.73314	0.433625	1.17181	3.73799	1.59211	1.17181	3.738	0.72369
0.148	1.1814	3.72405	0.441531	1.18301	3.72905	1.62112	1.18301	3.72908	0.736885
0.151	1.19256	3.71447	0.449317	1.19418	3.71952	1.64975	1.19418	3.7195	0.749879
0.154	1.20369	3.70442	0.457007	1.20533	3.70941	1.67796	1.20533	3.70941	0.762713
0.157	1.21479	3.69395	0.464593	1.21644	3.69894	1.70581	1.21644	3.69896	0.775373
0.16	1.22585	3.683	0.472064	1.22752	3.688	1.73327	1.22752	3.68798	0.787843
0.163	1.23689	3.67161	0.47943	1.23857	3.67656	1.7603	1.23857	3.67655	0.800136
0.166	1.24788	3.65981	0.486685	1.24958	3.66477	1.78691	1.24958	3.6648	0.812244
